x,y,z,label
-0.043,-0.164,1.222,0
-0.042,-0.158,1.195,0
-0.043,-0.185,1.231,0
-0.045,-0.136,1.231,0
-0.044,-0.125,1.257,0
-0.05,-0.174,1.228,0
-0.033,-0.143,1.154,0
-0.049,-0.164,1.043,0
-0.048,-0.108,1.177,0
-0.033,-0.107,1.212,0
-0.035,-0.158,1.157,0
-0.044,-0.15,1.104,0
-0.043,-0.101,1.058,0
-0.049,-0.13,1.045,0
-0.047,-0.141,1.122,0
-0.046,-0.176,1.041,0
-0.046,-0.137,1.126,0
-0.049,-0.181,1.022,0
-0.045,-0.193,1.036,0
-0.036,-0.19,1.13,0
-0.037,-0.136,1.082,0
-0.046,-0.128,1.114,0
-0.047,-0.167,1.105,0
-0.047,-0.142,1.118,0
-0.031,-0.1,1.274,0
-0.031,-0.135,1.043,0
-0.043,-0.142,1.177,0
-0.006,-0.313,1.821,1
-0.037,-0.156,1.031,0
-0.041,-0.114,1.269,0
-0.032,-0.105,1.221,0
-0.047,-0.162,1.289,0
-0.038,-0.155,1.291,0
-0.035,-0.182,1.16,0
-0.033,-0.14,1.106,0
-0.035,-0.108,1.053,0
-0.031,-0.157,1.243,0
-0.044,-0.136,1.259,0
-0.042,-0.149,1.027,0
-0.049,-0.122,1.191,0
-0.041,-0.137,1.251,0
-0.046,-0.102,1.174,0
-0.048,-0.171,1.287,0
-0.033,-0.1,1.212,0
-0.034,-0.162,1.176,0
-0.046,-0.139,1.087,0
-0.031,-0.118,1.136,0
-0.041,-0.197,1.179,0
-0.038,-0.131,1.179,0
-0.041,-0.147,1.009,0
-0.046,-0.167,1.189,0
-0.044,-0.152,1.005,0
-0.048,-0.2,1.085,0
-0.034,-0.179,1.188,0
-0.044,-0.132,1.084,0
-0.032,-0.122,1.101,0
-0.039,-0.109,1.283,0
-0.047,-0.131,1.135,0
-0.041,-0.162,1.025,0
-0.041,-0.179,1.286,0
-0.031,-0.18,1.004,0
-0.042,-0.138,1.261,0
-0.033,-0.153,1.041,0
-0.042,-0.122,1.264,0
-0.037,-0.106,1.134,0
-0.038,-0.102,1.264,0
-0.031,-0.125,1.025,0
-0.032,-0.192,1.211,0
-0.05,-0.193,1.254,0
-0.036,-0.111,1.196,0
-0.044,-0.118,1.202,0
-0.046,-0.172,1.028,0
-0.031,-0.181,1.273,0
-0.038,-0.2,1.26,0
-0.044,-0.106,1.281,0
-0.048,-0.105,1.117,0
-0.034,-0.108,1.046,0
-0.038,-0.139,1.198,0
-0.035,-0.168,1.211,0
-0.046,-0.173,1.13,0
-0.044,-0.159,1.168,0
-0.041,-0.134,1.088,0
-0.034,-0.113,1.075,0
-0.041,-0.115,1.247,0
-0.046,-0.172,1.117,0
-0.045,-0.174,1.3,0
-0.04,-0.101,1.115,0
-0.032,-0.162,1.123,0
-0.037,-0.152,1.151,0
-0.04,-0.138,1.063,0
-0.041,-0.112,1.01,0
-0.034,-0.19,1.149,0
-0.049,-0.184,1.159,0
-0.031,-0.195,1.087,0
-0.038,-0.152,1.276,0
-0.038,-0.102,1.129,0
-0.035,-0.122,1.268,0
-0.047,-0.134,1.195,0
-0.033,-0.182,1.085,0
-0.038,-0.142,1.258,0
-0.038,-0.172,1.138,0
-0.03,-0.199,1.243,0
-0.043,-0.142,1.218,0
-0.043,-0.18,1.153,0
-0.038,-0.144,1.11,0
-0.034,-0.192,1.284,0
-0.032,-0.152,1.183,0
-0.041,-0.171,1.059,0
-0.047,-0.179,1.105,0
-0.032,-0.139,1.167,0
-0.035,-0.174,1.05,0
-0.046,-0.166,1.241,0
-0.03,-0.167,1.244,0
-0.036,-0.139,1.133,0
-0.043,-0.177,1.22,0
-0.03,-0.176,1.08,0
-0.041,-0.184,1.189,0
-0.046,-0.178,1.023,0
-0.047,-0.149,1.277,0
-0.045,-0.147,1.142,0
-0.034,-0.131,1.144,0
-0.046,-0.143,1.072,0
-0.048,-0.141,1.227,0
-0.041,-0.134,1.161,0
-0.032,-0.133,1.098,0
-0.037,-0.174,1.0,0
-0.032,-0.127,1.128,0
-0.04,-0.165,1.113,0
-0.041,-0.11,1.107,0
-0.044,-0.12,1.254,0
-0.038,-0.152,1.278,0
-0.034,-0.171,1.239,0
-0.033,-0.144,1.132,0
-0.041,-0.135,1.296,0
-0.035,-0.158,1.065,0
-0.05,-0.155,1.074,0
-0.032,-0.128,1.071,0
-0.032,-0.164,1.203,0
-0.046,-0.171,1.058,0
-0.045,-0.185,1.221,0
-0.041,-0.171,1.048,0
-0.035,-0.154,1.076,0
-0.033,-0.14,1.029,0
-0.047,-0.14,1.194,0
-0.031,-0.144,1.181,0
-0.031,-0.126,1.208,0
-0.046,-0.139,1.017,0
-0.031,-0.141,1.136,0
-0.038,-0.11,1.173,0
-0.036,-0.177,1.097,0
-0.049,-0.16,1.253,0
-0.037,-0.18,1.125,0
-0.038,-0.123,1.005,0
-0.043,-0.16,1.283,0
-0.037,-0.199,1.189,0
-0.043,-0.105,1.204,0
-0.049,-0.159,1.059,0
-0.034,-0.149,1.016,0
-0.04,-0.181,1.281,0
-0.037,-0.145,1.073,0
-0.05,-0.14,1.046,0
-0.041,-0.161,1.236,0
-0.038,-0.117,1.175,0
-0.042,-0.197,1.299,0
-0.048,-0.143,1.007,0
-0.048,-0.105,1.121,0
-0.037,-0.101,1.019,0
-0.034,-0.16,1.187,0
-0.031,-0.167,1.064,0
-0.03,-0.168,1.208,0
-0.032,-0.177,1.09,0
-0.043,-0.123,1.124,0
-0.033,-0.186,1.116,0
-0.033,-0.177,1.053,0
-0.045,-0.131,1.078,0
-0.031,-0.118,1.023,0
-0.032,-0.11,1.049,0
-0.033,-0.163,1.125,0
-0.038,-0.182,1.249,0
-0.036,-0.182,1.266,0
-0.049,-0.15,1.256,0
-0.035,-0.112,1.251,0
-0.039,-0.178,1.273,0
-0.042,-0.187,1.027,0
-0.031,-0.145,1.091,0
-0.033,-0.136,1.043,0
-0.048,-0.192,1.206,0
-0.04,-0.115,1.067,0
-0.032,-0.112,1.08,0
-0.044,-0.186,1.104,0
-0.044,-0.104,1.186,0
-0.046,-0.157,1.118,0
-0.037,-0.192,1.213,0
-0.036,-0.141,1.26,0
-0.047,-0.197,1.164,0
-0.033,-0.109,1.148,0
-0.041,-0.14,1.191,0
-0.038,-0.143,1.206,0
-0.039,-0.133,1.255,0
-0.032,-0.104,1.008,0
-0.033,-0.124,1.267,0
-0.033,-0.131,1.104,0
-0.043,-0.162,1.176,0
-0.031,-0.14,1.139,0
-0.035,-0.121,1.172,0
-0.034,-0.109,1.144,0
-0.042,-0.12,1.104,0
-0.043,-0.183,1.067,0
-0.047,-0.18,1.285,0
-0.039,-0.148,1.037,0
-0.035,-0.169,1.16,0
-0.042,-0.163,1.172,0
-0.041,-0.122,1.174,0
-0.04,-0.172,1.15,0
-0.049,-0.138,1.215,0
-0.038,-0.186,1.212,0
-0.039,-0.145,1.255,0
-0.039,-0.193,1.3,0
-0.039,-0.157,1.167,0
-0.044,-0.143,1.264,0
-0.044,-0.11,1.269,0
-0.041,-0.169,1.1,0
-0.035,-0.105,1.265,0
-0.031,-0.197,1.14,0
-0.049,-0.118,1.066,0
-0.048,-0.156,1.084,0
-0.033,-0.149,1.255,0
-0.032,-0.179,1.035,0
-0.047,-0.108,1.2,0
-0.039,-0.127,1.123,0
-0.038,-0.155,1.071,0
-0.048,-0.165,1.159,0
-0.031,-0.163,1.179,0
-0.03,-0.18,1.031,0
-0.038,-0.186,1.126,0
-0.043,-0.108,1.251,0
-0.037,-0.115,1.089,0
-0.049,-0.192,1.043,0
-0.033,-0.177,1.186,0
-0.038,-0.104,1.083,0
-0.048,-0.144,1.226,0
-0.046,-0.158,1.24,0
-0.044,-0.163,1.242,0
-0.046,-0.16,1.167,0
-0.039,-0.158,1.233,0
-0.046,-0.193,1.213,0
-0.047,-0.165,1.106,0
-0.043,-0.131,1.026,0
-0.036,-0.113,1.173,0
-0.045,-0.179,1.201,0
-0.043,-0.12,1.017,0
-0.035,-0.169,1.167,0
-0.039,-0.124,1.159,0
-0.039,-0.197,1.091,0
-0.039,-0.119,1.086,0
-0.031,-0.103,1.013,0
-0.039,-0.121,1.036,0
-0.046,-0.198,1.197,0
-0.033,-0.15,1.109,0
-0.041,-0.12,1.275,0
-0.034,-0.181,1.245,0
-0.043,-0.156,1.15,0
-0.044,-0.1,1.131,0
-0.045,-0.139,1.099,0
-0.039,-0.153,1.17,0
-0.045,-0.178,1.045,0
-0.039,-0.188,1.286,0
-0.032,-0.135,1.202,0
-0.033,-0.199,1.245,0
-0.05,-0.188,1.214,0
-0.038,-0.146,1.161,0
-0.049,-0.147,1.0,0
-0.036,-0.182,1.045,0
-0.044,-0.186,1.066,0
-0.035,-0.114,1.175,0
-0.047,-0.163,1.056,0
-0.038,-0.104,1.261,0
-0.04,-0.115,1.107,0
-0.034,-0.191,1.277,0
-0.03,-0.119,1.243,0
-0.045,-0.117,1.18,0
-0.04,-0.132,1.136,0
-0.041,-0.133,1.016,0
-0.038,-0.2,1.129,0
-0.038,-0.125,1.182,0
-0.034,-0.192,1.11,0
-0.03,-0.192,1.179,0
-0.034,-0.133,1.253,0
-0.043,-0.109,1.217,0
-0.033,-0.102,1.028,0
-0.037,-0.188,1.264,0
-0.04,-0.169,1.067,0
-0.041,-0.176,1.264,0
-0.048,-0.103,1.274,0
-0.043,-0.154,1.01,0
-0.034,-0.161,1.186,0
-0.037,-0.139,1.254,0
-0.032,-0.104,1.267,0
-0.042,-0.172,1.237,0
-0.045,-0.149,1.22,0
-0.039,-0.193,1.25,0
-0.042,-0.186,1.108,0
-0.048,-0.193,1.224,0
-0.035,-0.135,1.3,0
-0.038,-0.164,1.127,0
-0.037,-0.167,1.071,0
-0.037,-0.119,1.039,0
-0.039,-0.101,1.155,0
-0.033,-0.126,1.173,0
-0.038,-0.142,1.266,0
-0.043,-0.129,1.04,0
-0.031,-0.148,1.05,0
-0.049,-0.102,1.21,0
-0.046,-0.171,1.278,0
-0.043,-0.114,1.071,0
-0.038,-0.159,1.01,0
-0.038,-0.156,1.193,0
-0.047,-0.178,1.163,0
-0.043,-0.199,1.081,0
-0.047,-0.179,1.205,0
-0.05,-0.147,1.18,0
-0.048,-0.195,1.242,0
-0.034,-0.105,1.202,0
-0.036,-0.128,1.196,0
-0.034,-0.12,1.276,0
-0.035,-0.129,1.137,0
-0.037,-0.16,1.281,0
-0.045,-0.175,1.0,0
-0.042,-0.128,1.143,0
-0.044,-0.126,1.243,0
-0.032,-0.103,1.147,0
-0.044,-0.195,1.104,0
-0.048,-0.138,1.159,0
-0.041,-0.189,1.079,0
-0.035,-0.115,1.048,0
-0.039,-0.119,1.033,0
-0.04,-0.108,1.226,0
-0.044,-0.173,1.136,0
-0.047,-0.197,1.228,0
-0.047,-0.14,1.035,0
-0.049,-0.193,1.026,0
-0.043,-0.191,1.018,0
-0.04,-0.134,1.213,0
-0.045,-0.193,1.161,0
-0.031,-0.192,1.214,0
-0.048,-0.139,1.254,0
-0.04,-0.103,1.031,0
-0.03,-0.126,1.026,0
-0.036,-0.179,1.004,0
-0.034,-0.155,1.149,0
-0.033,-0.115,1.176,0
-0.043,-0.106,1.081,0
-0.032,-0.102,1.033,0
-0.045,-0.177,1.007,0
-0.043,-0.132,1.186,0
-0.03,-0.194,1.218,0
-0.039,-0.142,1.096,0
-0.05,-0.184,1.013,0
-0.042,-0.138,1.118,0
-0.038,-0.143,1.071,0
-0.044,-0.165,1.239,0
-0.042,-0.144,1.073,0
-0.046,-0.174,1.207,0
-0.05,-0.19,1.19,0
-0.046,-0.127,1.269,0
-0.044,-0.199,1.265,0
-0.048,-0.145,1.122,0
-0.049,-0.172,1.203,0
-0.038,-0.197,1.064,0
-0.045,-0.152,1.165,0
-0.033,-0.136,1.062,0
-0.037,-0.187,1.283,0
-0.031,-0.199,1.071,0
-0.043,-0.123,1.291,0
-0.049,-0.193,1.225,0
-0.049,-0.127,1.09,0
-0.045,-0.131,1.207,0
-0.044,-0.16,1.209,0
-0.035,-0.164,1.095,0
-0.034,-0.195,1.28,0
-0.031,-0.148,1.205,0
-0.043,-0.154,1.257,0
-0.049,-0.15,1.032,0
-0.033,-0.197,1.152,0
-0.046,-0.124,1.218,0
-0.045,-0.153,1.054,0
-0.077,-0.025,1.389,1
-0.032,-0.115,1.282,0
-0.044,-0.141,1.253,0
-0.049,-0.114,1.098,0
-0.041,-0.197,1.244,0
-0.041,-0.139,1.235,0
-0.032,-0.121,1.262,0
-0.048,-0.194,1.227,0
-0.044,-0.142,1.069,0
-0.043,-0.197,1.098,0
-0.032,-0.138,1.111,0
-0.036,-0.156,1.133,0
-0.034,-0.147,1.184,0
-0.04,-0.174,1.296,0
-0.045,-0.152,1.238,0
-0.037,-0.157,1.159,0
-0.04,-0.141,1.191,0
-0.036,-0.192,1.016,0
-0.043,-0.2,1.143,0
-0.035,-0.171,1.127,0
-0.032,-0.121,1.054,0
-0.046,-0.104,1.274,0
-0.033,-0.177,1.048,0
-0.047,-0.151,1.086,0
-0.045,-0.195,1.002,0
-0.032,-0.113,1.175,0
-0.042,-0.139,1.093,0
-0.04,-0.107,1.023,0
-0.03,-0.187,1.088,0
-0.034,-0.142,1.066,0
-0.043,-0.128,1.207,0
-0.034,-0.142,1.083,0
-0.043,-0.117,1.141,0
-0.038,-0.129,1.233,0
-0.05,-0.166,1.223,0
-0.048,-0.148,1.025,0
-0.035,-0.146,1.254,0
-0.037,-0.158,1.163,0
-0.033,-0.193,1.164,0
-0.038,-0.16,1.183,0
-0.042,-0.104,1.248,0
-0.046,-0.156,1.212,0
-0.038,-0.125,1.284,0
-0.042,-0.128,1.204,0
-0.038,-0.112,1.002,0
-0.035,-0.137,1.018,0
-0.032,-0.19,1.125,0
-0.048,-0.104,1.148,0
-0.046,-0.127,1.265,0
-0.045,-0.178,1.177,0
-0.045,-0.187,1.1,0
-0.031,-0.135,1.169,0
-0.037,-0.127,1.189,0
-0.041,-0.106,1.11,0
-0.045,-0.107,1.069,0
-0.049,-0.199,1.018,0
-0.05,-0.197,1.275,0
-0.046,-0.14,1.05,0
-0.043,-0.146,1.033,0
-0.043,-0.165,1.091,0
-0.041,-0.12,1.272,0
-0.039,-0.124,1.159,0
-0.046,-0.141,1.055,0
-0.038,-0.179,1.041,0
-0.04,-0.15,1.15,0
-0.045,-0.149,1.077,0
-0.036,-0.172,1.097,0
-0.043,-0.189,1.215,0
-0.05,-0.1,1.274,0
-0.033,-0.176,1.05,0
-0.038,-0.131,1.057,0
-0.04,-0.142,1.115,0
-0.036,-0.193,1.042,0
-0.036,-0.119,1.091,0
-0.036,-0.14,1.266,0
-0.043,-0.142,1.145,0
-0.041,-0.2,1.286,0
-0.047,-0.161,1.232,0
-0.04,-0.12,1.128,0
-0.046,-0.175,1.001,0
-0.031,-0.192,1.001,0
-0.033,-0.193,1.167,0
-0.04,-0.174,1.293,0
-0.049,-0.196,1.288,0
-0.047,-0.149,1.266,0
-0.035,-0.167,1.207,0
-0.032,-0.122,1.266,0
-0.038,-0.163,1.192,0
-0.031,-0.105,1.189,0
-0.047,-0.122,1.185,0
-0.031,-0.192,1.085,0
-0.035,-0.181,1.149,0
-0.045,-0.111,1.015,0
-0.039,-0.173,1.079,0
-0.017,-0.425,1.971,1
-0.036,-0.152,1.282,0
-0.041,-0.102,1.249,0
-0.043,-0.154,1.192,0
-0.047,-0.11,1.23,0
-0.047,-0.13,1.266,0
-0.037,-0.117,1.17,0
-0.047,-0.173,1.223,0
-0.037,-0.176,1.062,0
-0.033,-0.11,1.119,0
-0.049,-0.135,1.201,0
-0.046,-0.14,1.299,0
-0.04,-0.131,1.021,0
-0.044,-0.123,1.03,0
-0.044,-0.183,1.105,0
-0.044,-0.12,1.194,0
-0.031,-0.101,1.112,0
-0.045,-0.103,1.129,0
-0.041,-0.104,1.227,0
-0.038,-0.15,1.228,0
-0.037,-0.19,1.184,0
-0.032,-0.187,1.149,0
-0.031,-0.126,1.101,0
-0.046,-0.181,1.095,0
-0.046,-0.138,1.217,0
-0.05,-0.101,1.268,0
-0.033,-0.114,1.193,0
-0.041,-0.134,1.259,0
-0.033,-0.175,1.132,0
-0.037,-0.195,1.075,0
-0.043,-0.108,1.056,0
-0.04,-0.143,1.198,0
-0.041,-0.132,1.281,0
-0.032,-0.151,1.131,0
-0.045,-0.106,1.136,0
-0.04,-0.174,1.143,0
-0.04,-0.123,1.294,0
-0.042,-0.172,1.056,0
-0.042,-0.126,1.105,0
-0.05,-0.157,1.204,0
-0.036,-0.194,1.184,0
-0.039,-0.159,1.257,0
-0.046,-0.132,1.074,0
-0.049,-0.111,1.069,0
-0.049,-0.16,1.201,0
-0.036,-0.13,1.126,0
-0.038,-0.149,1.265,0
-0.032,-0.145,1.105,0
-0.036,-0.135,1.05,0
-0.05,-0.129,1.229,0
-0.045,-0.134,1.145,0
-0.033,-0.17,1.138,0
-0.035,-0.16,1.184,0
-0.046,-0.114,1.057,0
-0.046,-0.142,1.206,0
-0.044,-0.18,1.267,0
-0.031,-0.129,1.2,0
-0.032,-0.182,1.145,0
-0.041,-0.195,1.044,0
-0.035,-0.16,1.175,0
-0.039,-0.108,1.122,0
-0.045,-0.132,1.002,0
-0.033,-0.154,1.197,0
-0.047,-0.162,1.161,0
-0.034,-0.162,1.291,0
-0.045,-0.194,1.147,0
-0.04,-0.128,1.259,0
-0.034,-0.195,1.021,0
-0.045,-0.109,1.153,0
-0.041,-0.129,1.105,0
-0.038,-0.135,1.242,0
-0.034,-0.189,1.156,0
-0.032,-0.146,1.21,0
-0.048,-0.12,1.163,0
-0.047,-0.171,1.287,0
-0.044,-0.186,1.054,0
-0.045,-0.124,1.242,0
-0.044,-0.156,1.093,0
-0.038,-0.173,1.062,0
-0.035,-0.131,1.175,0
-0.036,-0.161,1.091,0
-0.037,-0.125,1.059,0
-0.045,-0.17,1.013,0
-0.04,-0.129,1.265,0
-0.036,-0.103,1.21,0
-0.044,-0.169,1.071,0
-0.045,-0.167,1.182,0
-0.048,-0.113,1.103,0
-0.031,-0.12,1.287,0
-0.037,-0.142,1.1,0
-0.045,-0.125,1.027,0
-0.035,-0.146,1.092,0
-0.045,-0.181,1.251,0
-0.034,-0.132,1.004,0
-0.048,-0.193,1.109,0
-0.04,-0.143,1.086,0
-0.034,-0.112,1.096,0
-0.034,-0.105,1.141,0
-0.046,-0.102,1.031,0
-0.042,-0.155,1.153,0
-0.043,-0.169,1.118,0
-0.043,0.012,1.196,1
-0.037,-0.185,1.148,0
-0.048,-0.199,1.043,0
-0.037,-0.199,1.205,0
-0.042,-0.179,1.222,0
-0.039,-0.115,1.222,0
-0.037,-0.191,1.288,0
-0.03,-0.184,1.053,0
-0.049,-0.155,1.291,0
-0.048,-0.194,1.056,0
-0.045,-0.13,1.159,0
-0.033,-0.147,1.01,0
-0.037,-0.118,1.105,0
-0.042,-0.184,1.205,0
-0.036,-0.163,1.043,0
-0.033,-0.187,1.152,0
-0.044,-0.115,1.051,0
-0.033,-0.144,1.237,0
-0.034,-0.19,1.164,0
-0.034,-0.14,1.096,0
-0.041,-0.158,1.047,0
-0.03,-0.133,1.098,0
-0.032,-0.141,1.17,0
-0.036,-0.173,1.129,0
-0.033,-0.176,1.296,0
-0.041,-0.13,1.089,0
-0.043,-0.143,1.238,0
-0.031,-0.141,1.061,0
-0.048,-0.121,1.04,0
-0.042,-0.157,1.062,0
-0.033,-0.189,1.193,0
-0.037,-0.184,1.032,0
-0.042,-0.189,1.2,0
-0.049,-0.198,1.192,0
-0.045,-0.12,1.068,0
-0.032,-0.162,1.043,0
-0.049,-0.106,1.238,0
-0.034,-0.124,1.112,0
-0.05,-0.116,1.123,0
-0.033,-0.103,1.266,0
-0.043,-0.166,1.029,0
-0.044,-0.162,1.032,0
-0.044,-0.101,1.21,0
